Entity,ISO3,Date, (cases per million),Days since the total confirmed cases per million people reached 1 (days)
Luxembourg,LUX,1/13/20,0,
Luxembourg,LUX,1/14/20,0,
Luxembourg,LUX,1/15/20,0,
Luxembourg,LUX,1/16/20,0,
Luxembourg,LUX,1/17/20,0,
Luxembourg,LUX,1/18/20,0,
Luxembourg,LUX,1/19/20,0,
Luxembourg,LUX,1/20/20,0,
Luxembourg,LUX,1/21/20,0,
Luxembourg,LUX,1/22/20,0,
Luxembourg,LUX,1/23/20,0,
Luxembourg,LUX,1/24/20,0,
Luxembourg,LUX,1/25/20,0,
Luxembourg,LUX,1/26/20,0,
Luxembourg,LUX,1/27/20,0,
Luxembourg,LUX,1/28/20,0,
Luxembourg,LUX,1/29/20,0,
Luxembourg,LUX,1/30/20,0,
Luxembourg,LUX,1/31/20,0,
Luxembourg,LUX,2/1/20,0,
Luxembourg,LUX,2/2/20,0,
Luxembourg,LUX,2/3/20,0,
Luxembourg,LUX,2/4/20,0,
Luxembourg,LUX,2/5/20,0,
Luxembourg,LUX,2/6/20,0,
Luxembourg,LUX,2/7/20,0,
Luxembourg,LUX,2/8/20,0,
Luxembourg,LUX,2/9/20,0,
Luxembourg,LUX,2/10/20,0,
Luxembourg,LUX,2/11/20,0,
Luxembourg,LUX,2/12/20,0,
Luxembourg,LUX,2/13/20,0,
Luxembourg,LUX,2/14/20,0,
Luxembourg,LUX,2/15/20,0,
Luxembourg,LUX,2/16/20,0,
Luxembourg,LUX,2/17/20,0,
Luxembourg,LUX,2/18/20,0,
Luxembourg,LUX,2/19/20,0,
Luxembourg,LUX,2/20/20,0,
Luxembourg,LUX,2/21/20,0,
Luxembourg,LUX,2/22/20,0,
Luxembourg,LUX,2/23/20,0,
Luxembourg,LUX,2/24/20,0,
Luxembourg,LUX,2/25/20,0,
Luxembourg,LUX,2/26/20,0,
Luxembourg,LUX,2/27/20,0,
Luxembourg,LUX,2/28/20,0,
Luxembourg,LUX,2/29/20,0,
Luxembourg,LUX,3/1/20,1.597505336,0
Luxembourg,LUX,3/2/20,1.597505336,1
Luxembourg,LUX,3/3/20,,2
Luxembourg,LUX,3/4/20,,3
Luxembourg,LUX,3/5/20,,4
Luxembourg,LUX,3/6/20,,5
Luxembourg,LUX,3/7/20,4.792516007,6
Luxembourg,LUX,3/8/20,,7
Luxembourg,LUX,3/9/20,7.987526678,8
Luxembourg,LUX,3/10/20,,9
Luxembourg,LUX,3/11/20,11.18253735,10
Luxembourg,LUX,3/12/20,11.18253735,11
Luxembourg,LUX,3/13/20,41.53513873,12
Luxembourg,LUX,3/14/20,60.70520276,13
Luxembourg,LUX,3/15/20,,14
Luxembourg,LUX,3/16/20,123.0079108,15
Luxembourg,LUX,3/17/20,129.3979322,16
Luxembourg,LUX,3/18/20,223.650747,17
Luxembourg,LUX,3/19/20,335.4761205,18
Luxembourg,LUX,3/20/20,551.1393408,19
Luxembourg,LUX,3/21/20,773.1925825,20
Luxembourg,LUX,3/22/20,1070.328575,21
Luxembourg,LUX,3/23/20,1274.809258,22
Luxembourg,LUX,3/24/20,1397.817169,23
Luxembourg,LUX,3/25/20,1755.658364,24
Luxembourg,LUX,3/26/20,2129.474612,25
Luxembourg,LUX,3/27/20,2321.175253,26
Luxembourg,LUX,3/28/20,2563.996064,27
Luxembourg,LUX,3/29/20,2925.03227,28
Luxembourg,LUX,3/30/20,3115.135405,29
Luxembourg,LUX,3/31/20,3175.840607,30
Luxembourg,LUX,4/1/20,3479.366621,31
Luxembourg,LUX,4/2/20,3704.614873,32
Luxembourg,LUX,4/3/20,3972.99577,33
Luxembourg,LUX,4/4/20,4172.683937,34
Luxembourg,LUX,4/5/20,4359.592061,35
Luxembourg,LUX,4/6/20,4479.404961,36
Luxembourg,LUX,4/7/20,4541.707669,37
Luxembourg,LUX,4/8/20,4744.590847,38
Luxembourg,LUX,4/9/20,4846.831188,39
Luxembourg,LUX,4/10/20,4976.229121,40
Luxembourg,LUX,4/11/20,5148.759697,41
Luxembourg,LUX,4/12/20,5223.842448,42
Luxembourg,LUX,4/13/20,5241.415006,43
Luxembourg,LUX,4/14/20,5258.987565,44
Luxembourg,LUX,4/15/20,5282.950145,45
Luxembourg,LUX,4/16/20,5388.385497,46
Luxembourg,LUX,4/17/20,5501.808376,47
Luxembourg,LUX,4/18/20,5559.318568,48
Luxembourg,LUX,4/19/20,5650.376372,49
Macedonia,MKD,12/31/19,0,
Macedonia,MKD,1/1/20,0,
Macedonia,MKD,1/2/20,0,
Macedonia,MKD,1/3/20,0,
Macedonia,MKD,1/4/20,0,
