Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2005,2005,tonnes,6949939.57,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2006,2006,tonnes,7280511.26,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2007,2007,tonnes,6841351.37,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2008,2008,tonnes,6617111.77,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2009,2009,tonnes,6626475.63,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2010,2010,tonnes,6797178.85,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2011,2011,tonnes,6732698.21,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2012,2012,tonnes,6772413.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,641,Food supply quantity (tonnes),2960,"Fish, Seafood",2013,2013,tonnes,6883419.6,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1961,1961,g/capita/day,35.68,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1962,1962,g/capita/day,36.63,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1963,1963,g/capita/day,35.74,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1964,1964,g/capita/day,34.89,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1965,1965,g/capita/day,35.2,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1966,1966,g/capita/day,36.36,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1967,1967,g/capita/day,34.67,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1968,1968,g/capita/day,38.66,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1969,1969,g/capita/day,36.39,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1970,1970,g/capita/day,39.73,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1971,1971,g/capita/day,38.5,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1972,1972,g/capita/day,43.74,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1973,1973,g/capita/day,42.11,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1974,1974,g/capita/day,40.48,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1975,1975,g/capita/day,38.68,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1976,1976,g/capita/day,42.68,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1977,1977,g/capita/day,42.23,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1978,1978,g/capita/day,44.31,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1979,1979,g/capita/day,43.6,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1980,1980,g/capita/day,42.57,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1981,1981,g/capita/day,47.19,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1982,1982,g/capita/day,45.13,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1983,1983,g/capita/day,47.81,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1984,1984,g/capita/day,52.49,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1985,1985,g/capita/day,52.18,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1986,1986,g/capita/day,51.68,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1987,1987,g/capita/day,57.8,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1988,1988,g/capita/day,54.96,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1989,1989,g/capita/day,61.45,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1990,1990,g/capita/day,60.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1991,1991,g/capita/day,57.52,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1992,1992,g/capita/day,60.07,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1993,1993,g/capita/day,62.61,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1994,1994,g/capita/day,61.49,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1995,1995,g/capita/day,60.17,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1996,1996,g/capita/day,57.53,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1997,1997,g/capita/day,57.42,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1998,1998,g/capita/day,59.52,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",1999,1999,g/capita/day,59.17,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2000,2000,g/capita/day,60.38,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2001,2001,g/capita/day,58.88,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2002,2002,g/capita/day,62.07,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2003,2003,g/capita/day,65.64,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2004,2004,g/capita/day,68.08,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2005,2005,g/capita/day,63.86,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2006,2006,g/capita/day,66.28,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2007,2007,g/capita/day,61.7,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2008,2008,g/capita/day,59.12,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2009,2009,g/capita/day,58.66,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2010,2010,g/capita/day,59.64,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2011,2011,g/capita/day,58.57,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2012,2012,g/capita/day,58.44,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,646,Food supply quantity (g/capita/day),2960,"Fish, Seafood",2013,2013,g/capita/day,58.92,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1961,1961,kg,13.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1962,1962,kg,13.37,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1963,1963,kg,13.04,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1964,1964,kg,12.73,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1965,1965,kg,12.85,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1966,1966,kg,13.27,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1967,1967,kg,12.65,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1968,1968,kg,14.11,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1969,1969,kg,13.28,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1970,1970,kg,14.5,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1971,1971,kg,14.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1972,1972,kg,15.96,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1973,1973,kg,15.37,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1974,1974,kg,14.78,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1975,1975,kg,14.12,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1976,1976,kg,15.58,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,231,United States of America,645,Food supply quantity (kg/capita/yr),2960,"Fish, Seafood",1977,1977,kg,15.41,Fc,Calculated data
